,Country_Region,Date,ConfirmedCases,Fatalities,Lat,Long
0,Afghanistan,2020-05-17,1854.0,492.0,33.0,65.0
81,Albania,2020-05-17,899.0,154.0,41.15329999999996,20.168300000000023
162,Algeria,2020-05-17,920.0,159.0,28.033899999999967,1.6595999999999984
243,Andorra,2020-05-17,1848.0,511.0,42.5063,1.5217999999999992
324,Angola,2020-05-17,7.0,2.0,-8.830833,13.245
405,Antigua and Barbuda,2020-05-17,1254.0,-0.0,17.060799999999983,-61.79640000000007
486,Argentina,2020-05-17,1812.0,512.0,-38.416099999999965,-63.61670000000003
567,Armenia,2020-05-17,1857.0,509.0,40.06910000000001,45.03819999999998
648,Austria,2020-05-17,10180.0,517.0,47.51620000000002,14.550100000000011
729,Azerbaijan,2020-05-17,1850.0,508.0,40.143099999999954,47.576900000000016
810,Bahamas,2020-05-17,1078.0,-0.0,25.066667000000002,-77.333333
891,Bahrain,2020-05-17,1846.0,500.0,26.027499999999968,50.55000000000005
972,Bangladesh,2020-05-17,1233.0,8.0,23.684999999999967,90.35630000000008
1053,Barbados,2020-05-17,230.0,-0.0,13.193899999999989,-59.54320000000004
1134,Belarus,2020-05-17,232.0,1.0,53.70980000000005,27.953400000000038
1215,Belgium,2020-05-17,12775.0,705.0,50.83329999999992,4.0
1296,Belize,2020-05-17,1159.0,-0.0,17.498611,-88.188611
1377,Benin,2020-05-17,1216.0,-0.0,9.3077,2.3157999999999985
1458,Bhutan,2020-05-17,1295.0,-0.0,27.51420000000002,90.43360000000004
1539,Bolivia,2020-05-17,911.0,141.0,-16.290200000000016,-63.588699999999896
1620,Bosnia and Herzegovina,2020-05-17,1856.0,513.0,43.91589999999998,17.679099999999984
1701,Botswana,2020-05-17,249.0,1.0,-24.658056,25.912222
1782,Brazil,2020-05-17,5717.0,516.0,-14.235000000000012,-51.92529999999999
1863,Brunei,2020-05-17,176.0,1.0,4.535300000000005,114.72770000000013
1944,Bulgaria,2020-05-17,1854.0,495.0,42.73390000000003,25.485799999999987
2025,Burkina Faso,2020-05-17,910.0,158.0,12.238299999999988,-1.5615999999999992
2106,Burma,2020-05-17,1195.0,1.0,16.85,96.18333299999999
2187,Burundi,2020-05-17,1175.0,-0.0,-3.3833330000000004,29.366667
2268,Cabo Verde,2020-05-17,960.0,1.0,14.916667000000002,-23.516667
2349,Cambodia,2020-05-17,200.0,-0.0,11.549999999999994,104.91669999999998
2430,Cameroon,2020-05-17,1858.0,435.0,3.8480000000000065,11.50210000000001
2511,Central African Republic,2020-05-17,1307.0,-0.0,6.611100000000006,20.939399999999985
2592,Chad,2020-05-17,1162.0,-0.0,12.134722,15.055832999999998
2673,Chile,2020-05-17,2738.0,512.0,-35.675099999999965,-71.54300000000005
2754,Colombia,2020-05-17,1847.0,513.0,4.5708999999999955,-74.29730000000008
2835,Congo (Brazzaville),2020-05-17,1128.0,-0.0,-4.038299999999993,21.758700000000008
2916,Congo (Kinshasa),2020-05-17,907.0,156.0,-4.038299999999993,21.758700000000008
2997,Costa Rica,2020-05-17,1856.0,495.0,9.748900000000004,-83.75339999999993
3078,Croatia,2020-05-17,1855.0,511.0,45.09999999999995,15.200000000000017
3159,Cuba,2020-05-17,1859.0,510.0,22.0,-80.0
3240,Cyprus,2020-05-17,1855.0,499.0,35.126400000000054,33.42990000000004
3321,Czechia,2020-05-17,3308.0,516.0,49.817500000000074,15.472999999999983
3402,Denmark,2020-05-17,2860.0,514.0,61.89260000000004,-6.911800000000013
3483,Denmark,2020-05-17,2860.0,514.0,64.181389,-51.694167
3564,Denmark,2020-05-17,2860.0,514.0,56.26389999999995,9.5018
3645,Diamond Princess,2020-05-17,1838.0,120.0,35.4437,139.638
